t_wall,scan_stamp_sec,odom_stamp_sec,camera_stamp_sec,goal_stamp_sec,goal_x,goal_y,camera_h,camera_w,velocity,goal_distance,goal_angle,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17
1774177488.529332,476.459000,476.547000,476.471000,1774177488.431256,2.000000,2.000000,480,640,0.004158,2.255148,0.251514,1.029856,0.930301,0.930052,1.015706,1.383474,2.980134,1.902261,1.496220,3.149059,3.504675,1.170866,1.142646,9.494921,9.494921,9.494921,0.004158,2.255148,0.251514
1774177488.629361,476.559000,476.647000,476.572000,1774177488.431256,2.000000,2.000000,480,640,0.005463,2.254946,0.194117,1.000231,0.925936,0.927065,1.038415,1.470456,3.584239,1.737255,1.495994,3.158563,2.744624,1.147383,1.195165,9.499962,9.499962,9.499962,0.005463,2.254946,0.194117
1774177488.729178,476.659000,476.747000,476.671000,1774177488.631221,2.000000,2.000000,480,640,0.004309,2.254756,0.136002,0.974769,0.922040,0.927331,1.066917,1.578734,4.554929,1.600872,1.492855,3.169215,2.257306,1.156476,9.508374,9.508374,9.508374,9.508374,0.004309,2.254755,0.136002
1774177488.829465,476.759000,476.847000,476.771000,1774177488.631221,2.000000,2.000000,480,640,0.005808,2.254557,0.076731,0.953433,0.918368,0.931012,1.101511,1.712602,5.163188,1.491744,1.513233,3.165668,1.922708,1.166111,9.473730,9.473730,9.473730,1.178242,0.005808,2.254557,0.076731
1774177488.929379,476.859000,476.947000,476.771000,1774177488.831244,2.000000,2.000000,480,640,0.002388,2.254363,0.016743,0.936005,0.914884,0.938422,1.144286,1.885330,3.013587,1.493007,3.208252,3.161384,1.681268,1.167834,9.484430,9.484430,9.484430,1.122805,0.002388,2.254363,0.016743
1774177489.029363,476.959000,477.047000,476.971000,1774177488.831244,2.000000,2.000000,480,640,0.000341,2.254220,-0.043690,0.922423,0.911657,0.949907,1.196702,2.112431,2.555718,1.496058,3.166847,3.480399,1.496367,1.171618,9.499754,9.499754,9.499754,1.074561,0.000341,2.254220,-0.043690
1774177489.129396,477.059000,477.147000,477.071000,1774177489.031278,2.000000,2.000000,480,640,0.000703,2.254134,-0.104259,0.912551,0.908659,0.965648,1.259826,2.414987,2.227004,1.494656,3.170065,4.193461,1.354915,1.182453,9.469553,9.469553,9.469553,1.033932,0.000703,2.254134,-0.104259
1774177489.229507,477.159000,477.247000,477.171000,1774177489.031278,2.000000,2.000000,480,640,0.009402,2.253600,-0.168374,0.906367,0.905911,0.986060,1.336306,2.836460,1.979768,1.484064,3.162712,3.832535,1.243703,1.184589,9.484821,9.484821,9.484821,0.999733,0.009402,2.253600,-0.168374
1774177489.329406,477.259000,477.347000,477.271000,1774177489.231207,2.000000,2.000000,480,640,0.009560,2.252667,-0.235636,0.903890,0.905068,1.014269,1.437337,3.512569,1.775712,1.487051,3.171318,2.880687,1.191139,1.224653,9.464811,9.464811,9.464811,0.970244,0.009560,2.252667,-0.235636
1774177489.429368,477.359000,477.447000,477.371000,1774177489.231207,2.000000,2.000000,480,640,0.009704,2.251736,-0.303553,0.902501,0.908771,1.051026,1.569036,4.705411,1.610113,1.474625,3.167368,2.307838,1.191513,9.496722,9.496722,9.496722,1.205231,0.946060,0.009704,2.251736,-0.303553
1774177489.529349,477.459000,477.547000,477.471000,1774177489.431316,2.000000,2.000000,480,640,0.009836,2.250811,-0.372040,0.901563,0.917280,1.096863,1.739177,5.121616,1.477436,1.484804,3.158132,1.935827,1.205912,9.483711,9.483711,9.483711,1.138253,0.927422,0.009836,2.250811,-0.372040
1774177489.629277,477.559000,477.647000,477.571000,1774177489.431316,2.000000,2.000000,480,640,0.009958,2.249900,-0.441011,0.901111,0.930927,1.153656,1.964415,2.800832,1.473323,3.182470,3.160520,1.676587,1.205019,9.472063,9.472063,9.472063,1.083139,0.914009,0.009958,2.249900,-0.441011
1774177489.729325,477.659000,477.747000,477.571000,1774177489.631220,2.000000,2.000000,480,640,0.001081,2.249528,-0.506762,0.901142,0.950179,1.223150,2.272797,2.356145,1.462353,3.161843,3.757011,1.487034,1.206867,9.461562,9.461562,9.461562,1.038012,0.905602,0.001081,2.249528,-0.506762
1774177489.829257,477.759000,477.847000,477.772000,1774177489.631220,2.000000,2.000000,480,640,0.001652,2.249464,-0.570664,0.900988,0.973252,1.303475,2.681228,2.057227,1.461235,3.152174,4.478066,1.351229,1.216044,9.441383,9.441383,9.441383,1.002748,0.901523,0.001652,2.249464,-0.570664
