t_wall,episode,step,raw_action_0,raw_action_1,cmd_linear_x,cmd_angular_z,pos_x,pos_y,goal_distance,goal_angle,linear_x,angular_z,lidar_min,lidar_front_min,done,terminated,truncated,terminal_reason,reward_total,reward_progress,reward_direction,reward_safe,reward_risk,reward_front_safe,reward_front_risk,reward_turn,reward_stop,reward_smooth,reward_terminal,lidar_feat_0,lidar_feat_1,lidar_feat_2,lidar_feat_3,lidar_feat_4,lidar_feat_5,lidar_feat_6,lidar_feat_7,lidar_feat_8,lidar_feat_9,lidar_feat_10,lidar_feat_11,lidar_feat_12,lidar_feat_13,lidar_feat_14
1777061061.218443,1,45,0.983796,-0.073952,0.991898,-0.036976,3.845189,8.614869,9.471990,-0.212131,0.992453,-0.031699,3.853547,6.897538,0,0,0,,0.318323,0.000000,0.000000,0.100000,-0.077263,0.000000,-0.000000,-0.001585,0.000000,-0.000017,0.000000,8.531425,5.290998,4.279871,4.146442,4.219876,5.047267,8.008431,11.493796,5.997732,4.286250,3.855689,3.853547,4.190841,5.671564,8.506340
1777061061.369028,1,46,0.983942,-0.076378,0.991971,-0.038189,3.833449,8.773045,9.316910,-0.210756,0.992529,-0.032789,3.845862,6.914708,0,0,0,,0.384827,0.000000,0.000000,0.100000,-0.077423,0.000000,-0.000000,-0.001639,0.000000,-0.000013,0.000000,8.628534,5.313722,4.291238,4.154294,4.225368,5.046099,7.983385,11.396081,6.007362,4.284002,3.848405,3.845862,4.177131,5.641947,8.605071
1777061061.528511,1,47,0.984052,-0.076997,0.992026,-0.038499,3.823158,8.921396,9.171470,-0.209404,0.992586,-0.033048,3.831278,6.953800,0,0,0,,0.383678,0.000000,0.000000,0.100000,-0.077722,0.000000,-0.000000,-0.001652,0.000000,-0.000004,0.000000,8.822835,5.359520,4.313532,4.168850,4.235442,5.042171,7.929901,11.197431,6.030056,4.280937,3.834656,3.831278,4.150185,5.582798,8.802861
1777061061.689115,1,48,0.984212,-0.076245,0.992106,-0.038122,3.812951,9.079699,9.016276,-0.208017,0.992668,-0.032674,3.824405,6.974592,0,0,0,,0.445763,0.000000,0.000000,0.100000,-0.077868,0.000000,-0.000000,-0.001634,0.000000,-0.000005,0.000000,8.920083,5.382003,4.324244,4.175681,4.240026,5.039706,7.902797,11.098360,6.042378,4.280012,3.828337,3.824405,4.137378,5.554362,8.901927
1777061061.850851,1,49,0.984331,-0.075151,0.992166,-0.037576,3.803529,9.238064,8.861028,-0.206744,0.992730,-0.032143,3.811564,7.017691,0,0,0,,0.473754,0.000000,0.000000,0.100000,-0.078136,0.000000,-0.000000,-0.001607,0.000000,-0.000006,0.000000,9.114855,5.425642,4.344675,4.188468,4.248387,5.034172,7.849048,10.900468,6.068273,4.279123,3.816724,3.811564,4.113150,5.500093,9.099659
1777061062.000862,1,50,0.984497,-0.072695,0.992248,-0.036347,3.794877,9.396484,8.705728,-0.205658,0.992815,-0.030984,3.800094,7.062080,0,0,0,,0.499503,0.000000,0.000000,0.100000,-0.078378,0.000000,-0.000000,-0.001549,0.000000,-0.000013,0.000000,9.310020,5.467693,4.363937,4.199958,4.255825,5.028010,7.796909,10.703803,6.095324,4.279357,3.806438,3.800094,4.090831,5.449551,9.297587
1777061062.160639,1,51,0.984656,-0.069629,0.992328,-0.034814,3.787439,9.545052,8.560094,-0.204892,0.992897,-0.029545,3.794857,7.084119,0,0,0,,0.482404,0.000000,0.000000,0.100000,-0.078493,0.000000,-0.000000,-0.001477,0.000000,-0.000016,0.000000,9.407773,5.487787,4.373026,4.205285,4.259259,5.024862,7.771643,10.603566,6.108840,4.279759,3.801766,3.794857,4.080455,5.425930,9.396705
1777061062.320428,1,52,0.984768,-0.067531,0.992384,-0.033765,3.780190,9.703568,8.404718,-0.204312,0.992956,-0.028553,3.784977,7.127800,0,0,0,,0.513939,0.000000,0.000000,0.100000,-0.078702,0.000000,-0.000000,-0.001428,0.000000,-0.000011,0.000000,9.603595,5.526122,4.390150,4.215027,4.265447,5.018556,7.723780,10.405294,6.135787,4.281087,3.793307,3.784977,4.061179,5.381783,9.594953
1777061062.470361,1,53,0.984911,-0.064301,0.992455,-0.032151,3.773619,9.862125,8.249318,-0.204001,0.993029,-0.027041,3.780482,7.149698,0,0,0,,0.513917,0.000000,0.000000,0.100000,-0.078802,0.000000,-0.000000,-0.001352,0.000000,-0.000017,0.000000,9.702625,5.544667,4.398306,4.219601,4.268230,5.015293,7.700606,10.306250,6.149392,4.282053,3.789506,3.780482,4.052209,5.361053,9.693885
1777061062.630173,1,54,0.985019,-0.061721,0.992509,-0.030861,3.768043,10.010804,8.103615,-0.203983,0.993086,-0.025830,3.772360,7.191990,0,0,0,,0.482109,0.000000,0.000000,0.100000,-0.078976,0.000000,-0.000000,-0.001292,0.000000,-0.000013,0.000000,9.898043,5.579187,4.413338,4.227755,4.273279,5.008983,7.657234,10.108298,6.175753,4.284247,3.782688,3.772360,4.035749,5.322848,9.891996
1777061062.781739,1,55,0.985129,-0.058617,0.992565,-0.029309,3.762371,10.179341,7.938480,-0.204276,0.993143,-0.024377,3.768706,7.213025,0,0,0,,0.545557,0.000000,0.000000,0.100000,-0.079057,0.000000,-0.000000,-0.001219,0.000000,-0.000016,0.000000,9.984303,5.595641,4.420390,4.231405,4.275523,5.005757,7.636312,10.009159,6.188944,4.285587,3.779659,3.768706,4.028129,5.304979,9.991161
1777061062.941293,1,56,0.985224,-0.056231,0.992612,-0.028115,3.757905,10.328076,7.792776,-0.204819,0.993192,-0.023258,3.762023,7.253256,0,0,0,,0.482047,0.000000,0.000000,0.100000,-0.079201,0.000000,-0.000000,-0.001163,0.000000,-0.000012,0.000000,10.096209,5.626180,4.433353,4.238028,4.279530,4.999605,7.597563,9.811632,6.214242,4.288415,3.774284,3.762023,4.014245,5.272253,10.189681
1777061063.101842,1,57,0.985282,-0.055624,0.992641,-0.027812,3.753920,10.476830,7.647088,-0.205531,0.993223,-0.022961,3.758970,7.273355,0,0,0,,0.482023,0.000000,0.000000,0.100000,-0.079268,0.000000,-0.000000,-0.001148,0.000000,-0.000003,0.000000,10.151292,5.640958,4.439513,4.241083,4.281300,4.996389,7.578464,9.711439,6.226960,4.290064,3.771935,3.758970,4.007823,5.256907,10.214472
