t_wall,episode,step,raw_action_0,raw_action_1,cmd_linear_x,cmd_angular_z,pos_x,pos_y,goal_distance,goal_angle,linear_x,angular_z,lidar_min,done,terminated,truncated,terminal_reason,reward_total,reward_progress,reward_safe,reward_risk,reward_turn,reward_stop,reward_smooth,reward_terminal,lidar_feat_0,lidar_feat_1,lidar_feat_2,lidar_feat_3,lidar_feat_4,lidar_feat_5,lidar_feat_6,lidar_feat_7,lidar_feat_8,lidar_feat_9,lidar_feat_10,lidar_feat_11,lidar_feat_12,lidar_feat_13,lidar_feat_14
1774537243.813002,227,12,0.999828,0.349982,0.999828,0.699964,-0.752622,-1.121740,2.125563,-0.111341,0.995536,0.675259,1000.000000,0,0,0,,1.248028,0.094158,0.000000,-0.000000,-0.033763,0.000000,-0.002275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537243.992967,227,13,0.999941,-0.706372,0.999941,-1.412745,-0.874416,-1.249584,1.949095,0.082690,0.981714,-1.417915,1000.000000,0,0,0,,1.181176,0.088234,0.000000,-0.000000,-0.070896,0.000000,-0.021128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537244.174087,227,14,0.999742,0.738509,0.999742,1.477017,-1.003537,-1.368030,1.773972,-0.079400,0.977941,1.482460,1000.000000,0,0,0,,1.167565,0.087562,0.000000,-0.000000,-0.074123,0.000000,-0.028900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537244.355340,227,15,0.999778,-0.673168,0.999778,-1.346336,-1.124294,-1.495847,1.598266,0.060220,0.982146,-1.351375,1000.000000,0,0,0,,1.179182,0.087853,0.000000,-0.000000,-0.067569,0.000000,-0.028234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537244.534983,227,16,0.998871,-0.167987,0.998871,-0.335973,-1.264656,-1.606454,1.420676,0.148805,0.999239,-0.309299,1000.000000,0,0,0,,1.249505,0.088795,0.000000,-0.000000,-0.015465,0.000000,-0.010113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537244.715303,227,17,0.999940,0.483433,0.999940,0.966866,-1.400534,-1.721096,1.243632,0.013156,0.985673,0.962047,1000.000000,0,0,0,,1.218681,0.088522,0.000000,-0.000000,-0.048102,0.000000,-0.013039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537244.904694,227,18,0.999850,-0.248369,0.999850,-0.496737,-1.536633,-1.852420,1.054610,0.075550,0.997515,-0.457604,1000.000000,0,0,0,,1.252084,0.094511,0.000000,-0.000000,-0.022880,0.000000,-0.014637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537245.086199,227,19,0.999833,0.651048,0.999833,1.302097,-1.659181,-1.980281,0.877504,-0.114992,0.981958,1.293612,1000.000000,0,0,0,,1.187205,0.088553,0.000000,-0.000000,-0.064681,0.000000,-0.017989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537245.266440,227,20,0.999953,0.381705,0.999953,0.763409,-1.757096,-2.129628,0.702840,-0.301570,0.992762,0.725074,1000.000000,0,0,0,,1.187389,0.087332,0.000000,-0.000000,-0.036254,0.000000,-0.005388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537245.447256,227,21,0.999634,-0.824262,0.999634,-1.648524,-1.856587,-2.274801,0.532194,-0.146293,0.975423,-1.656004,1000.000000,0,0,0,,1.150993,0.085323,0.000000,-0.000000,-0.082800,0.000000,-0.024123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
